IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ISR,Israel,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,285.3,,,197.9,,401.6,285.3 [197.9 – 401.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ITA,Italy,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,289.1,,,223.1,,366.4,289.1 [223.1 – 366.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,FRA,France,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,290.1,,,201.6,,407.8,290.1 [201.6 – 407.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,NOR,Norway,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,291.3,,,224.3,,368.6,291.3 [224.3 – 368.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,SWE,Sweden,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,300.5,,,221.1,,397.3,300.5 [221.1 – 397.3],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,CAN,Canada,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,301.3,,,214.5,,414.2,301.3 [214.5 – 414.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,PER,Peru,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,302.7,,,170.2,,501,302.7 [170.2 – 501],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,303.1,,,210.9,,428.1,303.1 [210.9 – 428.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ISL,Iceland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,304.9,,,212.8,,425.6,304.9 [212.8 – 425.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,308.9,,,225.6,,416,308.9 [225.6 – 416],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,309.2,,,192.6,,467.2,309.2 [192.6 – 467.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,MLT,Malta,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,314.7,,,220.1,,442.2,314.7 [220.1 – 442.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,PRT,Portugal,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,317.6,,,224.7,,438.8,317.6 [224.7 – 438.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,BEL,Belgium,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,319.5,,,229.9,,437.5,319.5 [229.9 – 437.5],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,NLD,Netherlands,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,319.9,,,228,,439,319.9 [228 – 439],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,324.4,,,217.6,,473.3,324.4 [217.6 – 473.3],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,COL,Colombia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,326,,,206.4,,492.6,326 [206.4 – 492.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,IRL,Ireland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,326.8,,,229.9,,453.1,326.8 [229.9 – 453.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,CHL,Chile,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,328.5,,,229.8,,456.6,328.5 [229.8 – 456.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,GRC,Greece,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,329,,,247.6,,431.8,329 [247.6 – 431.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,DEU,Germany,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,329.3,,,243.2,,439.2,329.3 [243.2 – 439.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,AUT,Austria,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,329.4,,,236.9,,448.1,329.4 [236.9 – 448.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,329.9,,,268,,401.3,329.9 [268 – 401.3],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,PAN,Panama,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,333.7,,,208.1,,505.4,333.7 [208.1 – 505.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,FIN,Finland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,334.3,,,240.3,,451.6,334.3 [240.3 – 451.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,SVN,Slovenia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,339.8,,,211.2,,515.2,339.8 [211.2 – 515.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,342.9,,,241.9,,471,342.9 [241.9 – 471],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,362.6,,,206.4,,588,362.6 [206.4 – 588],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,364.7,,,231,,551.4,364.7 [231 – 551.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,392.7,,,235.7,,614.8,392.7 [235.7 – 614.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,402,,,254.4,,609.1,402 [254.4 – 609.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,USA,United States of America,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,407.9,,,329.9,,497.4,407.9 [329.9 – 497.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,411.3,,,265.6,,611.6,411.3 [265.6 – 611.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,CZE,Czechia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,416.8,,,295.5,,573.6,416.8 [295.5 – 573.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,BRA,Brazil,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,424.5,,,336.8,,532,424.5 [336.8 – 532],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,EST,Estonia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,426.5,,,260.6,,630.4,426.5 [260.6 – 630.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,CUB,Cuba,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,431.2,,,292.7,,611.1,431.2 [292.7 – 611.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,ARG,Argentina,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,435.2,,,315.1,,591.7,435.2 [315.1 – 591.7],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,TUR,Türkiye,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,436.8,,,280.7,,648,436.8 [280.7 – 648],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,439,,,280.6,,658.9,439 [280.6 – 658.9],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,441.2,,,281.1,,658.4,441.2 [281.1 – 658.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,POL,Poland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,441.6,,,321.7,,593.9,441.6 [321.7 – 593.9],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,SVK,Slovakia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,441.8,,,294,,640.7,441.8 [294 – 640.7],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,HRV,Croatia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,443.7,,,304.3,,626.9,443.7 [304.3 – 626.9],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,URY,Uruguay,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,445.2,,,323.9,,599.3,445.2 [323.9 – 599.3],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,445.7,,,352.7,,549,445.7 [352.7 – 549],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,DZA,Algeria,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,445.8,,,276.5,,682.7,445.8 [276.5 – 682.7],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,447.1,,,269.6,,695.7,447.1 [269.6 – 695.7],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,BLZ,Belize,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,451.3,,,310.2,,641.8,451.3 [310.2 – 641.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,454.4,,,298.4,,661,454.4 [298.4 – 661],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,462.5,,,274.4,,729.1,462.5 [274.4 – 729.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,MEX,Mexico,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,464.8,,,333.8,,632.8,464.8 [333.8 – 632.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,466.7,,,275.8,,733.3,466.7 [275.8 – 733.3],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,473.7,,,269.2,,786.4,473.7 [269.2 – 786.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,475.9,,,317.7,,693.2,475.9 [317.7 – 693.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,MRT,Mauritania,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,476.2,,,260.2,,801,476.2 [260.2 – 801],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,479,,,276.6,,781.7,479 [276.6 – 781.7],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,SSD,South Sudan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,481.1,,,241.8,,873.2,481.1 [241.8 – 873.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,CHN,China,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,491.5,,,370.8,,638.9,491.5 [370.8 – 638.9],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,496.5,,,264.8,,858.1,496.5 [264.8 – 858.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,496.5,,,324.7,,732.4,496.5 [324.7 – 732.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,501.1,,,309.9,,773.1,501.1 [309.9 – 773.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,501.1,,,337.9,,718.6,501.1 [337.9 – 718.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,LBR,Liberia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,506.4,,,274.2,,872.9,506.4 [274.2 – 872.9],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,506.5,,,302.5,,804.7,506.5 [302.5 – 804.7],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,511.3,,,308.7,,810.8,511.3 [308.7 – 810.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,512.8,,,313.4,,791.7,512.8 [313.4 – 791.7],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,515.7,,,350.2,,740.8,515.7 [350.2 – 740.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,525,,,374.6,,717.4,525 [374.6 – 717.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ARM,Armenia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,525.9,,,372,,714.2,525.9 [372 – 714.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,526.9,,,310.5,,798.8,526.9 [310.5 – 798.8],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,528.4,,,279,,914.1,528.4 [279 – 914.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,530.2,,,320.6,,829.3,530.2 [320.6 – 829.3],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,532.3,,,358.9,,774.2,532.3 [358.9 – 774.2],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,537.2,,,379.9,,745.1,537.2 [379.9 – 745.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,545.6,,,296.7,,944.1,545.6 [296.7 – 944.1],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,546.8,,,354.7,,805.6,546.8 [354.7 – 805.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,550.9,,,369.7,,798.7,550.9 [369.7 – 798.7],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,551.4,,,309.8,,912.4,551.4 [309.8 – 912.4],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,HUN,Hungary,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,554.5,,,398.3,,757.3,554.5 [398.3 – 757.3],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ROU,Romania,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,555.3,,,398.6,,752.6,555.3 [398.6 – 752.6],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,558.1,,,348.6,,846.3,558.1 [348.6 – 846.3],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,SEAR,South-East Asia,Country,IND,India,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,558.5,,,393.2,,759.9,558.5 [393.2 – 759.9],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,LVA,Latvia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,558.7,,,379.9,,792.9,558.7 [379.9 – 792.9],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,569.4,,,326.9,,900.9,569.4 [326.9 – 900.9],,,EN,2021-02-09T05:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,AFR,Africa,Country,SYC,Seychelles,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,569.9,,,365.9,,849.8,569.9 [365.9 – 849.8],,,EN,2021-02-09T05:00:00.000Z
